hgnc	uniprot_id
SLC22A9	Q8IVM8
SLC25A2	Q9BXI2
SLC25A31	Q9H0C2
SLC2A2	P11168
SLC2A7	Q6PXP3
SLC32A1	Q9H598
SLC34A1	Q06495
SLC36A3	Q495N2
SLC39A12	Q504Y0
SLC6A18	Q96N87
SLC6A5	Q9Y345
SLC6A7	Q99884
SLC7A13	Q8TCU3
SLCO1B1	Q9Y6L6
SLCO6A1	Q86UG4
SLITRK1	Q96PX8
SOHLH1	Q5JUK2
SOX1	O00570
SOX14	O95416
SP8	Q8IXZ3
SPACA1	Q9HBV2
SPACA5	Q96QH8
SPACA7	Q96KW9
SPATA16	Q9BXB7
SPATA21	Q7Z572
SPEM1	Q8N4L4
SPINK14	Q6IE38
SPO11	Q9Y5K1
SPPL2C	Q8IUH8
SPRR4	Q96PI1
SSTR4	P31391
SSX3	Q99909
SSX5	O60225
SSX7	Q7RTT5
STATH	P02808
SULT6B1	Q6IMI4
SUN5	Q8TC36
TBXT	O15178
TAAR1	Q96RJ0
TAAR2	Q9P1P5
TAAR5	O14804
TAAR6	Q96RI8
TAAR8	Q969N4
TAAR9	Q96RI9
TAS1R2	Q8TE23
TAS2R1	Q9NYW7
TAS2R13	Q9NYV9
TAS2R16	Q9NYV7
TAS2R39	P59534
TAS2R40	P59535
TAS2R41	P59536
TAS2R42	Q7RTR8
TAS2R43	P59537
TAS2R46	P59540
TAS2R50	P59544
TAS2R60	P59551
TAS2R7	Q9NYW3
TAS2R8	Q9NYW2
TAS2R9	Q9NYW1
TBC1D21	Q8IYX1
TBL1Y	Q9BQ87
TBPL2	Q6SJ96
TBR1	Q16650
TBX10	O75333
ELOA2	Q8IYF1
TCHHL1	Q5QJ38
TCP10L2	J3QSS5
TEDDM1	Q5T9Z0
TEX101	Q9BY14
TEX13A	Q9BXU3
TEX28	O15482
SPATA32	Q96LK8
TFAP2D	Q7Z6R9
TFDP3	Q5H9I0
TGIF2LX	Q8IUE1
TGIF2LY	Q8IUE0
TGM6	O95932
TKTL2	Q9H0I9
TLX1	P31314
TMEM132D	Q14C87
TMEM174	Q8WUU8
TMEM207	Q6UWW9
TMEM225	Q6GV28
TMIGD1	Q6UXZ0
TMPRSS11A	Q6ZMR5
TMPRSS11B	Q86T26
TMPRSS11F	Q6ZWK6
TMPRSS12	Q86WS5
TMPRSS15	P98073
TNR	Q92752
TPD52L3	Q96J77
TPH2	Q8IWU9
TPRX1	Q8N7U7
TPTE	P56180
TREML4	Q6UXN2
TRHR	P34981
TRIM40	Q6P9F5
TRIM42	Q8IWZ5
TRIM43	Q96BQ3
TRIM48	Q8IWZ4
TRIM49	P0CI25
TRIM51	Q9BSJ1
TRIM60	Q495X7
TRIM67	Q6ZTA4
TRIML1	Q8N9V2
TRPC5	Q9UL62
TRPC7	Q9HCX4
TRPM1	Q7Z4N2
TRPV5	Q9NQA5
TSGA13	Q96PP4
TSHB	P01222
TSPAN16	Q9UKR8
TSPO2	Q5TGU0
TSPY1	Q01534
TSPYL6	Q8N831
TSSK1B	Q9BXA7
TSSK2	Q96PF2
TXNDC8	Q6A555
TYR	P14679
UBQLN3	Q9H347
UMOD	P07911
UROC1	Q96N76
USP17L2	Q6R6M4
USP26	Q9BXU7
USP29	Q9HBJ7
UTS2R	Q9UKP6
VAX1	Q5SQQ9
VCX3A	Q9NNX9
VHLL	Q6RSH7
VN1R2	Q8NFZ6
VN1R4	Q7Z5H5
VN1R5	Q7Z5H4
VPREB1	P12018
VRTN	Q9H8Y1
VSX2	P58304
WFDC10A	Q9H1F0
WFDC11	Q8NEX6
WFDC9	Q8NEX5
XAGE2	Q96GT9
XAGE5	Q8WWM1
XKR7	Q5GH72
ZAN	Q9Y493
ZCCHC13	Q8WW36
RTL4	Q6ZR62
ZG16	O60844
ZIC3	O60481
ZIM3	Q96PE6
CBLL2	Q8N7E2
ZNF648	Q5T619
ZNF679	Q8IYX0
ZNF804B	A4D1E1
ZNRF4	Q8WWF5
ZP2	Q05996
ZP4	Q12836
ZSWIM2	Q8NEG5
