Q08117 TLE5
Q09161 NCBP1
Q13239 SLA
Q13326 SGCG
Q14264 ERV3-1
Q15043 SLC39A14
Q15542 TAF5
Q16644 MAPKAPK3
Q16678 CYP1B1
Q3ZLR7 SUPT20HL1
Q4LEZ3 AARD
Q5T7P2 LCE1A
Q5VTL7 FNDC7
Q5VU36 SPATA31A5
Q6NT04 TIGD7
Q6QEF8 CORO6
Q6UWF5 UNQ5815/PRO19632
Q6ZMW2 ZNF782
Q6ZN06 ZNF813
Q709F0 ACAD11
Q7RTR2 NLRC3
Q7Z340 ZNF551
Q7Z5S9 TMEM144
Q86UD0 SAPCD2
Q86XP0 PLA2G4D
Q86YD3 TMEM25
Q8IWZ6 BBS7
Q8IYK8 REM2
Q8N0T1 RBIS
Q8N0U2 TMEM61
Q8N5G0 SMIM20
Q8N5S3 C2orf73
Q8N8L6 ARL10
Q8NA97 FER1L6-AS1
Q8NB16 MLKL
Q8NGQ5 OR9Q1
Q8NHV9 RHOXF1
Q8WWZ1 IL1F10
Q8WXI7 MUC16
Q92502 STARD8
Q93052 LPP
Q96EG1 ARSG
Q96I34 PPP1R16A
Q96IX9 ANKRD36BP1
Q96LC7 SIGLEC10
Q96LX7 CCDC17
Q96NL3 ZNF599
Q96R08 OR5B12
Q96RU7 TRIB3
Q9BSK2 SLC25A33
Q9BTY7 HGH1
Q9BY15 ADGRE3
Q9BYJ9 YTHDF1
Q9C0F0 ASXL3
Q9H0S4 DDX47
Q9H5J8 TAF1D
Q9NNX1 TUFT1
Q9NRX2 MRPL17
Q9NRZ7 AGPAT3
Q9NUJ3 TCP11L1
Q9NX47 MARCHF5
Q9NY43 BARHL2
Q9NYG5 ANAPC11
Q9P2D8 UNC79
Q9UM44 HHLA2
Q9UM63 PLAGL1
Q9UPQ9 TNRC6B
Q9Y2J0 RPH3A
Q9Y2T3 GDA
Q9Y2U5 MAP3K2
Q9Y2W3 SLC45A1
Q9Y566 SHANK1
Q9Y5P3 RAI2
A0A075B709 TRAJ13
A0A126GWI2 OR2A25
A0A1B0GUA7 TEX51
A6NNY8 USP27X
A8MVS1 ZNF705F
O00154 ACOT7
O15056 SYNJ2
O15116 LSM1
O15230 LAMA5
O43427 FIBP
O43763 TLX2
O75093 SLIT1
O75586 MED6
O75787 ATP6AP2
O95069 KCNK2
O95718 ESRRB
O96014 WNT11
P02452 COL1A1
P06340 HLA-DOA
P08151 GLI1
P0C2L3 FAM163B
P0DP09 IGKV1-13
P0DPA3 SNHG28
P0DUD3 SPDYE14
P14735 IDE
P21964 COMT
P22304 IDS
P27701 CD82
P29350 PTPN6
P31323 PRKAR2B
P33778 H2BC3
P34913 EPHX2
P48380 RFX3
P52742 ZNF135
P59551 TAS2R60
Q01118 SCN7A
Q01970 PLCB3
Q08378 GOLGA3
Q09028 RBBP4
Q12846 STX4
Q13740 ALCAM
Q13895 BYSL
Q14108 SCARB2
Q14156 EFR3A
Q14162 SCARF1
Q14687 GSE1
Q15366 PCBP2
Q15911 ZFHX3
