hgnc	uniprot_id
SAG	P10523
SAMD9	Q5K651
SAMHD1	Q9Y3Z3
SAR1B	Q9Y6B6
SBDS	Q9Y3A5
SBF2	Q86WG5
SC5D	O75845
SCARB2	Q14108
SCGB1D1	O95968
SCN5A	Q14524
SCNN1A	P37088
SCNN1B	P51168
SCNN1G	P51170
SCO1	O75880
SCO2	O43819
SDHA	P31040
SDHAF1	A6NFY7
SEC23A	Q15436
SEC23B	Q15437
SECISBP2	Q96T21
SERPINA1	P01009
SERPINA6	P08185
SERPINB6	P35237
SERPINE1	P05121
SERPINF2	P08697
SETX	Q7Z333
SFTPB	P07988
SFTPC	P11686
SGCA	Q16586
SGCB	Q16585
SGCG	Q13326
SGSH	P51688
SH3PXD2B	A1X283
SH3TC2	Q8TF17
SI	P14410
SIL1	Q9H173
SIX6	O95475
SLC10A2	Q12908
SLC11A2	P49281
SLC12A1	Q13621
SLC12A3	P55017
SLC12A6	Q9UHW9
SLC17A5	Q9NRA2
SLC19A2	O60779
SLC19A3	Q9BZV2
SLC22A12	Q96S37
SLC22A3	O75751
SLC22A5	O76082
SLC25A12	O75746
SLC25A13	Q9UJS0
SLC25A15	Q9Y619
SLC25A19	Q9HC21
SLC25A20	O43772
SLC25A22	Q9H936
SLC25A3	Q00325
SLC25A38	Q96DW6
SLC26A1	Q9H2B4
SLC26A2	P50443
SLC26A3	P40879
SLC26A5	P58743
SLC29A3	Q9BZD2
SLC2A2	P11168
SLC33A1	O00400
SLC34A2	O95436
SLC34A3	Q8N130
SLC35A2	P78381
SLC35C1	Q96A29
SLC35D1	Q9NTN3
SLC36A2	Q495M3
SLC37A4	O43826
SLC38A1	Q9H2H9
SLC39A13	Q96H72
SLC39A4	Q6P5W5
SLC3A1	Q07837
SLC45A2	Q9UMX9
SLC46A1	Q96NT5
SLC4A11	Q8NBS3
SLC4A4	Q9Y6R1
SLC50A1	Q9BRV3
SLC52A3	Q9NQ40
SLC5A1	P13866
SLC5A2	P31639
SLC5A5	Q92911
SLC6A19	Q695T7
SLC6A5	Q9Y345
SLC7A7	Q9UM01
SLC7A9	P82251
SLURP1	P55000
SMARCAL1	Q9NZC9
SMN1	Q16637
SMPD1	P17405
SNAI2	O43623
SNAP29	O95721
SOBP	A7XYQ1
SOST	Q9BQB4
SP110	Q9HB58
SPATA7	Q9P0W8
SPG11	Q96JI7
SPG21	Q9NZD8
SPG7	Q9UQ90
SPINK5	Q9NQ38
SPINT2	O43291
SPTA1	P02549
SRD5A2	P31213
SRD5A3	Q9H8P0
ST14	Q9Y5Y6
ST3GAL5	Q9UNP4
STAR	P49675
STAT1	P42224
STIL	Q15468
STIM1	Q13586
STRA6	Q9BX79
STRADA	Q7RTN6
STRC	Q7RTU9
STX11	O75558
STXBP2	Q15833
SUCLA2	Q9P2R7
SUCLG1	P53597
SUMF1	Q8NBK3
SUOX	P51687
SURF1	Q15526
SYCP2	Q9BX26
TACR1	P25103
TACSTD2	P09758
TALDO1	P37837
TAP1	Q03518
TAP2	Q03519
TAPBP	O15533
TAT	P17735
TBC1D24	Q9ULP9
TBCE	Q15813
TBX15	Q96SF7
TBX19	O60806
TBXAS1	P24557
TCAP	O15273
TCIRG1	Q13488
TCN2	P20062
TDP1	Q9NUW8
TECTA	O75443
TF	P02787
TFF1	P04155
TFR2	Q9UP52
TG	P01266
TGFB1	P01137
TGM1	P22735
TGM5	O43548
TH	P07101
THRB	P10828
TINAGL1	Q9GZM7
TJP2	Q9UDY2
TMC1	Q8TDI8
TMC6	Q7Z403
TMC8	Q8IU68
TMEM126A	Q9H061
TMEM216	Q9P0N5
TMEM67	Q5HYA8
TMEM70	Q9BUB7
TMIE	Q8NEW7
TMPRSS15	P98073
TMPRSS3	P57727
TMPRSS4	Q9NRS4
TMPRSS6	Q8IU80
TNFRSF11B	O00300
TNFRSF13C	Q96RJ3
TNFSF11	O14788
TNNT1	P13805
TNXB	P22105
TOPORS	Q9NS56
TP53	P04637
TPO	P07202
TPP1	O14773
TPRN	Q4KMQ1
TRAF4	Q9BUZ4
TRAPPC9	Q96Q05
TREM2	Q9NZC2
TRH	P20396
TRHR	P34981
TRIM32	Q13049
TRIM37	O94972
TRIOBP	Q9H2D6
TRIP11	Q15643
TRMU	O75648
TRPM1	Q7Z4N2
TRPM6	Q9BX84
TSC1	Q92574
TSEN2	Q8NCE0
TSEN34	Q9BSV6
TSEN54	Q7Z6J9
TSFM	P43897
TSHB	P01222
TSPYL1	Q9H0U9
TSPYL2	Q9H2G4
TTC8	Q8TAM2
TTN	Q8WZ42
TTPA	P49638
TUBA8	Q9NY65
TUFM	P49411
TULP1	O00294
TUSC3	Q13454
TYK2	P29597
TYMP	P19971
TYR	P14679
TYROBP	O43914
TYRP1	P17643
UBR1	Q8IWV7
UMPS	P11172
UNC13D	Q70J99
UNG	P13051
UPB1	Q9UBR1
UQCRB	P14927
UQCRQ	O14949
UROC1	Q96N76
UROS	P10746
USH1C	Q9Y6N9
USH1G	Q495M9
USH2A	O75445
VDR	P11473
VHL	P40337
VIPAS39	Q9H9C1
VLDLR	P98155
VPS13A	Q96RL7
VPS13B	Q7Z7G8
VPS33B	Q9H267
VRK1	Q99986
VSIG2	Q96IQ7
VSX1	Q9NZR4
VSX2	P58304
VWF	P04275
WDPCP	O95876
WDR35	Q9P2L0
WDR62	O43379
WDR72	Q3MJ13
WNT10A	Q9GZT5
WNT10B	O00744
WNT3	P56703
WNT7A	O00755
WRN	Q14191
WT1	P19544
XDH	P47989
XPA	P23025
XPC	Q01831
XPNPEP3	Q9NQH7
YARS2	Q9Y2Z4
ZAP70	P43403
ZFP36	P26651
ZFP57	Q9NU63
ZFYVE26	Q68DK2
ZMPSTE24	O75844
ZNF160	Q9HCG1
ZNF384	Q8TF68
ZNF513	Q8N8E2
ZNF592	Q92610
